Rehom.Order,BSC,Site,Cell,LON,LAT,LAC,CI,New BSC,New LAC,New CI,New Ura,New_RBSID_1,New_RBSID_2
1,KIER3,KI0007,KI0007A,48.85722446,30.36030475,13417,10071,KIER7,12345,17771,33333,7,
1,KIER3,KI0007,KI0007B,48.85722446,30.36030475,13417,20071,KIER7,12345,27771,33333,7,
1,KIER3,KI0007,KI0007C,48.85722446,30.36030475,13417,30071,KIER7,12345,37771,33333,7,
1,KIER3,KI0007,KI0007E,48.85722446,30.36030475,13417,10072,KIER7,12345,17772,33333,7,
1,KIER3,KI0007,KI0007F,48.85722446,30.36030475,13417,20072,KIER7,12345,27772,33333,7,
1,KIER3,KI0007,KI0007G,48.85722446,30.36030475,13417,30072,KIER7,12345,37772,33333,7,
1,KIER3,KI0007,KI0007I,48.71799618,30.19200314,13417,10073,KIER7,12345,17773,33333,7,
1,KIER3,KI0007,KI0007J,48.71799618,30.19200314,13417,20073,KIER7,12345,27773,33333,7,
1,KIER3,KI0007,KI0007K,48.71799618,30.19200314,13417,30073,KIER7,12345,37773,33333,7,
1,KIER3,KI0031,KI0031A,48.85722446,30.36030475,13403,19551,KIER7,23456,10311,44444,31,32
1,KIER3,KI0031,KI0031B,48.85722446,30.36030475,13403,29551,KIER7,23456,20311,44444,31,32
1,KIER3,KI0031,KI0031C,48.85722446,30.36030475,13403,39551,KIER7,23456,30311,44444,31,32
1,KIER3,KI0031,KI0031D,48.85722446,30.36030475,13403,49551,KIER7,23456,40311,44444,31,32
1,KIER3,KI0031,KI0031E,48.85722446,30.36030475,13403,19552,KIER7,23456,10312,44444,31,32
1,KIER3,KI0031,KI0031F,48.85722446,30.36030475,13403,29552,KIER7,23456,20312,44444,31,32
1,KIER3,KI0031,KI0031G,48.71799618,30.19200314,13403,39552,KIER7,23456,30312,44444,31,32
1,KIER3,KI0031,KI0031H,48.71799618,30.19200314,13403,49552,KIER7,23456,40312,44444,31,32
1,KIER3,KI0031,KI0031I,48.71799618,30.19200314,13403,19553,KIER7,23456,10313,44444,31,32
1,KIER3,KI0031,KI0031J,48.85722446,30.36030475,13403,29553,KIER7,23456,20313,44444,31,32
1,KIER3,KI0031,KI0031K,48.85722446,30.36030475,13403,39553,KIER7,23456,30313,44444,31,32
1,KIER3,KI0031,KI0031L,48.85722446,30.36030475,13403,49553,KIER7,23456,40313,44444,31,32
